customer_id,first_name,last_name,email,phone,city,state,country,created_at
CUST-0001,Paul,Anderson,paul.anderson2@example.com,(577) 405-5777,Denver,CO,USA,2025-03-14
CUST-0002,Charles,White,charles.white80@example.com,(448) 675-7033,Denver,CO,USA,2025-09-22
CUST-0003,Donald,Harris,donald.harris26@example.com,(950) 759-5016,Phoenix,AZ,USA,2023-01-07
CUST-0004,Karen,Wilson,karen.wilson4@example.com,(438) 754-6675,Boston,MA,USA,2025-05-09
CUST-0005,Jennifer,Lewis,jennifer.lewis2@example.com,(543) 201-7164,Detroit,MI,USA,2025-01-14
CUST-0006,Charles,Brown,charles.brown27@example.com,(742) 443-7878,San Francisco,CA,USA,2025-09-11
CUST-0007,John,Jones,john.jones92@example.com,(486) 295-1719,San Diego,CA,USA,2025-07-07
CUST-0008,Jessica,Taylor,jessica.taylor53@example.com,(917) 581-8511,Detroit,MI,USA,2023-03-28
CUST-0009,Andrew,Brown,andrew.brown65@example.com,(336) 852-7461,Chicago,IL,USA,2024-08-29
CUST-0010,Andrew,Johnson,andrew.johnson56@example.com,(878) 333-4879,San Jose,CA,USA,2023-09-25
CUST-0011,Jessica,Hernandez,jessica.hernandez51@example.com,(917) 953-6345,Austin,TX,USA,2024-04-08
CUST-0012,Thomas,Davis,thomas.davis10@example.com,(407) 339-2785,Phoenix,AZ,USA,2023-04-19
CUST-0013,David,Anderson,david.anderson60@example.com,(521) 616-2978,Seattle,WA,USA,2024-01-02
CUST-0014,Elizabeth,Miller,elizabeth.miller58@example.com,(515) 674-5341,Houston,TX,USA,2023-04-03
CUST-0015,David,Sanchez,david.sanchez88@example.com,(511) 921-1660,San Antonio,TX,USA,2025-05-05
CUST-0016,Jessica,Hernandez,jessica.hernandez19@example.com,(293) 928-5066,Jacksonville,FL,USA,2024-02-10
CUST-0017,Steven,Johnson,steven.johnson87@example.com,(506) 466-3848,New York,NY,USA,2025-09-01
CUST-0018,Matthew,Ramirez,matthew.ramirez58@example.com,(769) 966-5093,Houston,TX,USA,2024-04-18
CUST-0019,Michael,Sanchez,michael.sanchez18@example.com,(324) 212-2010,Oklahoma City,OK,USA,2025-10-03
CUST-0020,Joseph,Jones,joseph.jones26@example.com,(610) 581-2376,Denver,CO,USA,2024-08-23
CUST-0021,Thomas,Clark,thomas.clark10@example.com,(222) 266-4239,Boston,MA,USA,2024-03-30
CUST-0022,Barbara,Jones,barbara.jones12@example.com,(539) 325-1699,Charlotte,NC,USA,2023-02-21
