customer_id,first_name,last_name,email,phone,city,state,country,created_at
CUST-0098,Joseph,Lewis,joseph.lewis8@example.com,(814) 613-6236,El Paso,TX,USA,2023-05-24
CUST-0615,Donald,Lopez,donald.lopez37@example.com,(988) 248-3430,Jacksonville,FL,USA,2023-10-19
CUST-0333,Paul,Taylor,paul.taylor16@example.com,(459) 692-5895,San Antonio,TX,USA,2024-01-05
CUST-0647,Joshua,Harris,joshua.harris22@example.com,(756) 530-6180,El Paso,TX,USA,2025-03-30
CUST-0714,William,Smith,william.smith34@example.com,(484) 874-3883,Boston,MA,USA,2025-05-22
CUST-0398,Karen,Taylor,karen.taylor40@example.com,(541) 701-7445,Detroit,MI,USA,2023-06-10
CUST-0695,Christopher,Garcia,christopher.garcia3@example.com,(751) 533-1612,Charlotte,NC,USA,2024-11-04
CUST-0947,Mark,Wilson,mark.wilson53@example.com,(576) 709-6194,Dallas,TX,USA,2024-01-27
CUST-0790,James,Gonzalez,james.gonzalez15@example.com,(213) 375-8817,Charlotte,NC,USA,2024-12-09
CUST-0711,Charles,Lee,charles.lee21@example.com,(462) 903-4868,Fort Worth,TX,USA,2023-09-02
CUST-0137,Christopher,Garcia,christopher.garcia15@example.com,(610) 609-8479,Dallas,TX,USA,2025-05-05
CUST-0341,James,Thompson,james.thompson49@example.com,(566) 941-3207,Dallas,TX,USA,2025-07-09
CUST-0180,Patricia,Williams,patricia.williams24@example.com,(377) 952-9418,Houston,TX,USA,2024-01-22
CUST-0651,Steven,Davis,steven.davis25@example.com,(772) 828-9612,Seattle,WA,USA,2024-12-30
CUST-0780,Mary,Lee,mary.lee68@example.com,(285) 497-8671,Columbus,OH,USA,2023-03-23
CUST-0906,Joshua,Martin,joshua.martin57@example.com,(982) 297-8314,Denver,CO,USA,2023-05-08
CUST-0705,Christopher,Miller,christopher.miller54@example.com,(611) 457-9443,Charlotte,NC,USA,2024-11-18
CUST-0326,Richard,Hernandez,richard.hernandez54@example.com,(519) 710-7084,Charlotte,NC,USA,2024-12-14
CUST-0872,Karen,Lewis,karen.lewis3@example.com,(475) 767-2663,San Diego,CA,USA,2025-02-20
CUST-0683,Patricia,Thomas,patricia.thomas63@example.com,(716) 467-9887,Austin,TX,USA,2025-04-08
