customer_id,card_type,card_number,expiry_date,billing_address_id,created_at
CUST-0757,Visa,**** **** **** 5286,11/29,ADDR-00530,2025-09-12
CUST-0878,MasterCard,**** **** **** 9969,08/27,ADDR-00510,2024-06-12
CUST-0199,Discover,**** **** **** 4075,09/29,ADDR-00132,2024-02-14
CUST-0275,MasterCard,**** **** **** 3537,11/24,ADDR-00290,2024-12-14
CUST-0410,Amex,**** **** **** 3799,09/28,ADDR-01322,2024-11-16
CUST-0683,Amex,**** **** **** 7678,05/25,ADDR-00043,2023-09-06
CUST-0901,Discover,**** **** **** 3138,06/29,ADDR-01486,2025-05-15
CUST-0542,Discover,**** **** **** 4504,02/26,ADDR-00516,2023-03-26
CUST-0474,Visa,**** **** **** 7392,05/29,ADDR-00799,2023-06-10
CUST-0364,Amex,**** **** **** 5761,01/25,ADDR-00826,2025-03-18
CUST-0235,Amex,**** **** **** 6569,09/29,ADDR-00383,2023-10-28
CUST-0197,Visa,**** **** **** 2386,08/27,ADDR-00631,2024-02-26
CUST-0812,Amex,**** **** **** 5761,09/28,ADDR-01087,2024-06-01
CUST-0939,Visa,**** **** **** 4700,12/24,ADDR-00755,2023-09-05
CUST-0570,MasterCard,**** **** **** 5512,06/29,ADDR-00275,2024-04-21
CUST-0625,Visa,**** **** **** 6569,01/26,ADDR-01407,2024-10-16
CUST-0059,Amex,**** **** **** 4912,04/25,ADDR-00428,2025-09-20
CUST-0784,Amex,**** **** **** 4183,09/26,ADDR-01203,2023-11-19
CUST-0905,Visa,**** **** **** 7467,12/25,ADDR-00290,2025-04-05
CUST-0105,Visa,**** **** **** 2549,12/28,ADDR-00932,2024-06-22
CUST-0478,Visa,**** **** **** 9919,01/28,ADDR-00407,2023-09-04
CUST-0608,Visa,**** **** **** 4243,08/25,ADDR-00276,2024-02-19
CUST-0660,Amex,**** **** **** 4698,01/27,ADDR-00072,2025-01-10
CUST-0079,Visa,**** **** **** 9272,08/30,ADDR-00671,2024-02-03
CUST-0098,Discover,**** **** **** 9203,07/30,ADDR-01132,2025-01-07
CUST-0885,Visa,**** **** **** 1174,03/25,ADDR-00055,2025-04-10
CUST-0031,Visa,**** **** **** 6481,07/24,ADDR-01126,2023-05-11
CUST-0858,Visa,**** **** **** 5004,12/27,ADDR-00684,2024-04-28
CUST-0653,Discover,**** **** **** 5323,12/26,ADDR-01221,2023-05-03
CUST-0984,Discover,**** **** **** 1050,10/29,ADDR-00438,2024-02-06
